Produkt Name #1;Produkt Name #2;Produkt Name #3;Produkt Name #4;Produkt Name #5;Produkt Name #6;Produkt Name #7;Produkt Name #8;Bestell ID;Shipping Postcode;Shipping City;Customer ID
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;;38846;50996;Köln;96
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;41902;51061;Köln;97
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;39908;50676;Köln;98
Bio Gemüsekiste(ca. 5Kg);Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;41438;50939;Köln;99
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;39411;50733;Köln;100
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;Bio Gemüsekiste(ca. 5Kg);;;;;;;40317;40470;Düsseldorf;101
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;42702;50733;Köln;102
"Bauerntüte ""klassik""";;;;;;;;37615;50733;Köln;103
Bio Obst (ca. 5Kg) 8-10 Sorten mit Exoten;Bio Gemüsekiste(ca. 5Kg);;;;;;;43848;40476;Düsseldorf;104
Bio Gemüsekiste(ca. 5Kg);;;;;;;;41665;40213;Düsseldorf;105
Bio Gemüsekiste(ca. 5Kg);;;;;;;;41968;50939;Köln;106
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;41556;50677;Köln;107
Abo Gemüsekiste Bio (ca.5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich);"Abo Obstbox Bio <br /><span style=""font-size:0.6em;"">(ca. 5Kg)</span><br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 4x im Monat (wöchentlich)";;;;;;;40247;50996;Köln;108
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;40662;50859;Köln;109
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;;41439;50670;Köln;110
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;;42750;50670;Köln;111
Bio Gemüsekiste(ca. 5Kg);Bio Olivenöl fruchtig (0,5l);Bio Weizenmehl Typ 405 (1 kg);Rote Bete Bio Scheiben im Glas (370g);Bio Hafer Porridge, Proteinreich, Sport (400g);Bio Kokosmilch (400ml);Bio Mandeldrink (250ml);Bio Couscous (500g);41186;51069;Köln;112
Bio Gemüsekiste(ca. 5Kg);;;;;;;;43691;51069;Köln;112
Bio Gemüsekiste(ca. 5Kg);;;;;;;;40175;50933;Köln;113
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;Bio Gemüsekiste(ca. 5Kg);;;;;;;41694;50823;Köln;114
